student_id,first_name,last_name,date_of_birth,contact_number
S0001,Mia,Sanchez,2016-01-15,24585749
S0002,Daniel,Kim,2016-04-16,24456545
S0003,Ava,Mitchell,2016-06-17,24585751
S0004,Ethan,Brooks,2016-09-18,24585752
S0005,Olivia,Bennett,2016-01-30,24583456
S0006,Michael,Thompson,2016-03-20,24585754
S0007,Peter,Chan,2016-01-21,24585755
S0008,Emily,Carter,2016-12-22,24583463
S0009,James,Rodriguez,2016-01-25,24585757
S0010,Sophia,Martinez,2016-11-16,24584534
S0011,Ethan,Thompson,2017-03-23,24584535
S0012,Olivia,Rossi,2017-07-24,24584536
S0013,Aiden,Kim,2017-03-25,24345434
S0014,Isabella,Vega,2017-01-26,24584538
S0015,Lucas,Al-Farsi,2017-09-27,24584539
S0016,Mia,Ito,2017-03-28,24584540
S0017,Noah,Schneider,2017-12-29,24584541
S0018,Charlotte,Nguyen,2017-04-30,24584542
S0019,Liam,Patel,2017-03-31,24584543
S0020,Amelia,Dubois,2017-04-01,24584544
S0021,Elijah,Okafor,2018-01-15,25456355
S0022,Harper,Andersson,2018-08-19,25455264
S0023,Oliver,Santos,2018-03-13,25445357
S0024,Evelyn,Cohen,2018-02-12,25456358
S0025,Benjamin,Kowalski,2018-04-19,25453595
S0026,Abigail,Murphy,2018-07-10,23446360
S0027,Zara,De Luca,2018-04-06,25456361
S0028,Ann,Hassan,2018-06-07,24355362
S0029,Jenny,Bennett,2018-12-08,26756363
S0030,Jason,Diop,2018-09-09,25455364
